QuestionId,IsTrue
1,0.139812
2,0.446774
3,0.000000
4,1.382946
5,1.331008
6,0.261628
7,0.308398
8,1.249759
9,0.331783
10,1.342119
11,1.328941
12,1.264470
13,1.295866
14,1.362016
15,0.172493
16,1.342119
17,1.315850
18,0.251421
19,0.139810
20,0.230904
21,0.176570
22,0.000000
23,0.000000
24,0.259173
25,1.373256
26,0.216458
27,0.000597
28,1.343669
29,0.189617
30,0.356202
31,0.343669
32,1.341860
33,1.339664
34,0.166364
35,1.371835
36,0.107600
37,0.245220
38,0.180011
39,1.218386
40,1.100847
41,1.012216
42,0.229461
43,1.380362
44,1.340423
45,0.346982
46,0.126277
47,0.000000
48,0.262072
49,1.335659
50,1.312403
51,0.148550
52,0.373902
53,0.158354
54,1.276282
55,0.254104
56,1.368475
57,1.320284
58,0.194056
59,1.308140
60,0.231212
61,0.331525
62,1.321112
63,1.328811
64,1.381137
65,0.256313
66,1.344574
67,1.363954
68,0.269380
69,1.246253
70,1.037218
71,0.223127
72,1.346382
73,0.249483
74,0.001086
75,0.000000
76,0.257783
77,0.263218
78,1.294057
79,0.176141
80,0.283204
81,0.189678
82,1.349096
83,1.203616
84,0.115623
85,0.000000
86,1.302842
87,1.264212
88,1.378941
89,1.354780
90,0.284100
91,1.329974
92,0.290132
93,1.341214
94,1.347685
95,1.364987
96,1.355426
97,1.281137
98,1.349483
99,1.317959
100,0.224289
101,0.261111
102,0.356331
103,0.313824
104,1.242843
105,0.000000
106,1.209892
107,1.299483
108,0.290956
109,0.081311
110,1.274734
111,0.218823
112,1.342951
113,0.000000
114,1.351421
115,1.367313
116,0.287209
117,1.304264
118,1.349742
119,0.216367
120,0.301680
121,0.000000
122,1.365633
123,0.183667
124,0.002588
125,1.310982
126,0.262016
127,1.373643
128,1.327132
129,0.231291
130,1.330879
131,1.309173
132,1.326227
133,1.347158
134,1.321059
135,0.274935
136,1.163594
137,1.290310
138,1.325711
139,0.216559
140,1.344832
141,1.332513
142,1.351292
143,1.292765
144,0.250388
145,1.243282
146,0.274289
147,0.199393
148,0.287985
149,1.360890
150,1.375711
151,1.375969
152,0.335659
153,1.304522
154,0.000000
155,1.382171
156,0.897999
157,1.157434
158,0.300517
159,1.376486
160,1.313692
161,1.354651
162,0.282750
163,1.351163
164,1.345478
165,0.000692
166,0.192630
